date,hospital_id,total_visits,respiratory_visits,cardiac_visits,er_visits,urgent_care_visits,admissions,icu_admits,avg_wait_minutes,avg_los_hours,day_visits,night_visits,is_weekend
2019-01-01,PHX_ALL,115,68,47,72,43,18,2,70.1393221099203,8.733810426074998,64,51,0
2019-01-02,PHX_ALL,107,77,30,75,32,20,3,69.66744049540526,8.143232384532498,69,38,0
2019-01-03,PHX_ALL,117,75,42,87,30,24,3,62.19707271888182,10.145636837367189,67,50,0
2019-01-04,PHX_ALL,127,83,44,89,38,28,3,78.88430351663891,7.024418620349454,72,55,0
2019-01-05,PHX_ALL,118,81,37,77,41,21,2,71.0841066371168,8.68257292120048,71,47,1
2019-01-06,PHX_ALL,118,78,40,80,38,20,2,56.67433345089497,6.5484560339629985,71,47,1
2019-01-07,PHX_ALL,128,89,39,89,39,27,3,65.96858814031417,8.217346567673077,76,52,0
2019-01-08,PHX_ALL,118,78,40,80,38,19,3,66.3669706107867,8.836506589063164,74,44,0
2019-01-09,PHX_ALL,103,64,39,64,39,20,3,65.31713848927157,5.487864883903514,62,41,0
2019-01-10,PHX_ALL,116,77,39,75,41,21,2,84.91423036403197,7.615067525758392,71,45,0
2019-01-11,PHX_ALL,103,61,42,74,29,16,2,67.80537044911704,6.99679026595738,64,39,0
2019-01-12,PHX_ALL,115,75,40,84,31,20,3,62.773824880811,7.098042701704879,64,51,1
2019-01-13,PHX_ALL,124,80,44,77,47,21,2,73.96504643445729,8.365212652259356,75,49,1
2019-01-14,PHX_ALL,86,55,31,64,22,17,1,57.98329802036895,8.340685706422596,55,31,0
2019-01-15,PHX_ALL,88,57,31,57,31,19,2,63.99806591626833,7.126721284770844,49,39,0
2019-01-16,PHX_ALL,102,57,45,71,31,17,2,70.24454149628491,7.74548642756002,60,42,0
2019-01-17,PHX_ALL,97,60,37,69,28,20,3,73.7738451777915,7.554308753059248,62,35,0
2019-01-18,PHX_ALL,113,74,39,82,31,17,2,68.7057080346398,7.761803506356414,66,47,0
2019-01-19,PHX_ALL,110,72,38,82,28,21,2,81.11168422079867,6.610657362287894,66,44,1
2019-01-20,PHX_ALL,104,62,42,67,37,16,1,73.46418130028954,8.688444601722892,67,37,1
2019-01-21,PHX_ALL,127,91,36,93,34,27,4,67.4404836415025,8.335195368158836,72,55,0
2019-01-22,PHX_ALL,106,64,42,66,40,22,3,84.4788453259877,8.014881490002578,59,47,0
